"Eruption","Interval"
07/01/19,1h35m
07/01/19,1h44m
07/01/19,1h40m
07/01/19,1h34m
07/01/19,1h43m
07/01/19,1h26m
07/01/19,1h37m
07/01/19,1h35m
07/01/19,1h33m
07/01/19,1h27m
07/01/19,1h36m
07/01/19,1h20m
06/30/19,3h18m
06/30/19,1h39m
06/30/19,1h32m
06/30/19,1h45m
06/30/19,1h38m
06/30/19,1h40m
06/30/19,1h32m
06/30/19,1h42m
06/30/19,1h32m
06/30/19,1h37m
06/30/19,1h34m
06/30/19,1h35m
06/30/19,1h30m
06/30/19,1h29m
06/29/19,1h39m
06/29/19,1h28m
06/29/19,1h30m
06/29/19,1h39m
06/29/19,1h29m
06/29/19,1h32m
06/29/19,1h36m
06/29/19,1h43m
06/29/19,1h24m
06/29/19,1h38m
06/29/19,1h35m
06/29/19,1h33m
06/29/19,1h34m
06/29/19,1h32m
06/29/19,1h27m
06/29/19,1h31m
06/28/19,1h36m
06/28/19,1h31m
06/28/19,1h34m
06/28/19,1h32m
06/28/19,1h43m
06/28/19,1h29m
06/28/19,1h37m
06/28/19,1h30m
