Date 05/17/2019 11:44 AM,Account Rye Middle School Cafeteria,Item Pizza,Serving Period Lunch,Payment Type Charge,Amount -$1.95,Balance -$3.15 
Date. 05/17/2019 11:44 AM,Account Rye Middle School Cafeteria,Item Snapple,Serving Period Lunch,Payment Type Charge,Amount -$1.75,Balance -$1.20 
Date 05/13/2019 11:48 AM,Account Rye Middle School Cafeteria,Item Amer Classics,Serving Period Lunch,Payment Type Prepay,Amount -$4.50,Balance $0.55 
Date 05/13/2019 11:48 AM,Account Rye Middle School Cafeteria,Item Snapple,Serving Period Lunch,Payment Type Prepay,Amount -$1.75,Balance $5.05 
Date 05/09/2019 11:55 AM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $6.80 
Date 05/09/2019 11:44 AM,Account Rye Middle School Cafeteria,Item HS Meal,Serving Period Lunch,Payment Type Prepay,Amount -$3.75,Balance $7.55 
Date 05/09/2019 11:44 AM,Account Rye Middle School Cafeteria,Item Snapple,Serving Period Lunch,Payment Type Prepay,Amount -$1.75,Balance $11.30 
Date 05/08/2019 02:55 PM,Account Rye High School Cafeteria,Item Cheetos,Serving Period Lunch,Payment Type Prepay,Amount -$1.00,Balance $13.05 
Date 05/08/2019 11:50 AM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $14.05 
Date 05/06/2019 11:54 AM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $14.80 
Date 05/03/2019 12:00 PM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $15.55 
Date 05/03/2019 11:56 AM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $16.30 
Date 05/03/2019 11:47 AM,Account Rye Middle School Cafeteria,Item Pizza,Serving Period Lunch,Payment Type Prepay,Amount -$2.50,Balance $17.05 
Date 05/03/2019 11:47 AM,Account Rye Middle School Cafeteria,Item Snapple,Serving Period Lunch,Payment Type Prepay,Amount -$1.75,Balance $19.55 
Date 05/01/2019 12:05 PM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $21.30 
Date 04/29/2019 11:57 AM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $22.05 
