Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Total Precipitation (high resolution)  [sfc],Total Cloud Cover  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2019,05,19,00,00,17.09,59.00,0.00,100.00,6.48,180.00
2019,05,19,01,00,16.53,62.00,0.00,100.00,6.48,180.00
2019,05,19,02,00,16.09,64.00,0.00,100.00,6.49,176.82
2019,05,19,03,00,15.77,65.00,0.00,100.00,6.52,173.66
2019,05,19,04,00,15.56,64.00,0.00,22.00,6.29,166.76
2019,05,19,05,00,15.36,64.00,0.00,100.00,6.73,164.48
2019,05,19,06,00,15.38,62.00,0.00,100.00,7.17,162.47
2019,05,19,07,00,16.03,59.00,0.00,100.00,8.65,163.07
2019,05,19,08,00,16.71,72.00,0.00,9.00,13.68,180.00
2019,05,19,09,00,18.95,68.00,0.00,66.00,15.12,178.64
2019,05,19,10,00,20.38,67.00,0.00,3.90,18.01,177.71
2019,05,19,11,00,22.42,64.00,0.00,1.20,20.53,177.99
2019,05,19,12,00,23.98,63.00,0.00,0.30,22.33,178.15
2019,05,19,13,00,25.26,63.00,0.00,0.00,24.12,180.00
2019,05,19,14,00,26.27,62.00,0.00,0.00,24.86,182.49
2019,05,19,15,00,26.88,63.00,0.00,3.00,24.88,183.32
2019,05,19,16,00,27.14,63.00,0.00,3.00,25.26,184.09
2019,05,19,17,00,27.03,65.00,0.00,7.00,24.93,184.97
2019,05,19,18,00,26.51,68.00,0.00,0.60,24.29,186.81
2019,05,19,19,00,25.44,73.00,0.00,19.00,21.84,188.53
2019,05,19,20,00,23.82,79.00,0.00,30.00,19.20,186.46
2019,05,19,21,00,22.10,87.00,0.00,57.00,18.37,182.25
2019,05,19,22,00,20.77,92.00,0.00,100.00,19.47,183.18
2019,05,19,23,00,19.77,95.00,0.00,100.00,18.94,188.75
2019,05,20,00,00,19.31,95.00,0.00,100.00,18.43,192.41
2019,05,20,01,00,19.02,95.00,0.00,100.00,17.90,195.15
2019,05,20,02,00,18.77,95.00,0.00,100.00,18.10,197.35
2019,05,20,03,00,18.54,95.00,0.00,100.00,18.33,199.50
2019,05,20,04,00,18.29,96.00,0.00,100.00,17.92,202.44
2019,05,20,05,00,18.19,95.00,0.00,100.00,16.27,204.86
2019,05,20,06,00,18.15,95.00,0.00,100.00,14.97,207.18
2019,05,20,07,00,18.53,94.00,0.00,100.00,13.58,212.01
2019,05,20,08,00,20.05,89.00,0.00,100.00,15.28,223.09
2019,05,20,09,00,22.64,82.00,0.00,1.00,16.32,228.58
2019,05,20,10,00,25.17,74.00,0.00,0.00,17.21,232.65
2019,05,20,11,00,27.87,62.00,0.00,0.00,19.51,240.12
2019,05,20,12,00,27.15,55.00,0.40,94.00,23.73,247.71
2019,05,20,13,00,27.30,52.00,0.20,0.00,24.64,244.93
2019,05,20,14,00,28.86,48.00,0.00,0.00,26.75,241.02
2019,05,20,15,00,29.10,46.00,0.00,10.00,27.97,238.15
2019,05,20,16,00,28.16,48.00,0.00,72.00,27.48,238.39
2019,05,20,17,00,27.55,50.00,0.10,61.00,26.30,239.57
2019,05,20,18,00,27.04,51.00,0.20,75.00,25.60,242.35
2019,05,20,19,00,26.28,53.00,0.10,66.00,23.40,247.38
2019,05,20,20,00,25.38,55.00,0.00,60.00,20.83,251.88
2019,05,20,21,00,24.65,55.00,0.00,0.00,12.64,250.02
2019,05,20,22,00,23.71,58.00,0.00,0.00,13.40,263.83
2019,05,20,23,00,22.18,63.00,0.00,10.80,18.36,295.56
2019,05,21,00,00,20.57,70.00,0.00,1.50,23.23,319.40
2019,05,21,01,00,18.35,73.00,0.00,3.30,25.01,329.74
2019,05,21,02,00,16.54,69.00,0.00,0.00,22.90,323.31
2019,05,21,03,00,15.10,62.00,0.00,0.00,21.90,313.67
2019,05,21,04,00,14.01,60.00,0.00,4.50,22.04,308.37
